Date,Away Team,Away Score,Home Team,Home Score,Season,Notes,Day,Winner,Loser
05-06-2015,Indiana Fever,72,Chicago Sky,95,2015,,Friday,Chicago Sky,Indiana Fever
05-06-2015,Washington Mystics,73,Connecticut Sun,68,2015,,Friday,Washington Mystics,Connecticut Sun
05-06-2015,Tulsa Shock,75,Minnesota Lynx,83,2015,,Friday,Minnesota Lynx,Tulsa Shock
05-06-2015,Atlanta Dream,73,New York Liberty,82,2015,,Friday,New York Liberty,Atlanta Dream
05-06-2015,San Antonio Silver Stars,71,Phoenix Mercury,76,2015,,Friday,Phoenix Mercury,San Antonio Silver Stars
06-06-2015,Minnesota Lynx,78,Indiana Fever,69,2015,,Saturday,Minnesota Lynx,Indiana Fever
06-06-2015,Los Angeles Sparks,61,Seattle Storm,86,2015,,Saturday,Seattle Storm,Los Angeles Sparks
06-06-2015,Chicago Sky,93,Tulsa Shock,101,2015,,Saturday,Chicago Sky,Tulsa Shock
06-06-2015,New York Liberty,62,Washington Mystics,67,2015,,Saturday,Washington Mystics,New York Liberty
07-06-2015,Connecticut Sun,75,Atlanta Dream,70,2015,,Sunday,Connecticut Sun,Atlanta Dream
09-06-2015,Indiana Fever,79,New York Liberty,86,2015,,Tuesday,New York Liberty,Indiana Fever
09-06-2015,Seattle Storm,45,Tulsa Shock,68,2015,,Tuesday,Tulsa Shock,Seattle Storm
11-06-2015,San Antonio Silver Stars,69,Atlanta Dream,72,2015,,Thursday,Atlanta Dream,San Antonio Silver Stars
11-06-2015,Chicago Sky,65,Connecticut Sun,67,2015,,Thursday,Connecticut Sun,Chicago Sky
11-06-2015,Seattle Storm,70,Minnesota Lynx,94,2015,,Thursday,Minnesota Lynx,Seattle Storm
11-06-2015,Phoenix Mercury,57,New York Liberty,68,2015,,Thursday,New York Liberty,Phoenix Mercury
12-06-2015,Phoenix Mercury,74,Indiana Fever,77,2015,,Friday,Indiana Fever,Phoenix Mercury
12-06-2015,Atlanta Dream,64,Washington Mystics,61,2015,,Friday,Atlanta Dream,Washington Mystics
